NAMESPACE           NAME                                        READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                           IMAGES                                                                                                                                                                                                                                                    SELECTOR
default             slack-api-server-00012-deployment           0/0     0            0           42h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:830595790f255f266ba0a49ff0f5cb0a76f62738c815a059394594a912ecb3a8,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=a6b740d3-f279-4cf3-856f-5a706a36d999
default             slack-api-server-00013-deployment           0/0     0            0           42h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:830595790f255f266ba0a49ff0f5cb0a76f62738c815a059394594a912ecb3a8,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=6944d6fd-8ae0-4ac4-9e7d-c2a7302a91f9
default             slack-api-server-00014-deployment           0/0     0            0           42h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:df8e17a0008cd995239e25ec8d996024a2413f6df69deb477dae3aca10c2f637,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=1f9daaf2-47fd-451e-bddb-308da7c9cfa0
default             slack-api-server-00015-deployment           0/0     0            0           13h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:356c017577017efa863586f23896e39ffbd56371b0738f88172775715c803baf,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=0de6b239-9a74-4454-8474-7159cd3f776e
default             slack-api-server-00016-deployment           0/0     0            0           13h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:df8e17a0008cd995239e25ec8d996024a2413f6df69deb477dae3aca10c2f637,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=914944e7-f53e-4792-b95a-f9849fa75fe0
default             slack-api-server-00017-deployment           0/0     0            0           13h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:356c017577017efa863586f23896e39ffbd56371b0738f88172775715c803baf,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=3e6442cb-29d1-435a-b7d9-ad3d61b628c4
default             slack-api-server-00018-deployment           1/1     1            1           13h     slack-api-server,queue-proxy         healthidpuaeacr.azurecr.io/slack-api-server@sha256:356c017577017efa863586f23896e39ffbd56371b0738f88172775715c803baf,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346         serving.knative.dev/revisionUID=15f44b5e-88d7-4478-a156-44a6b58e7b55
default             ui-cli-00001-deployment                     0/0     0            0           42h     ui-cli,queue-proxy                   healthidpuaeacr.azurecr.io/ui-cli@sha256:41eb7122f540351724b6fb4ba75e758d75b8b4af753672ac1a5417829e8772a8,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:7ccae735b70742edcde0e31c8bab4b69b205c7406c01add9364369980e074346                   serving.knative.dev/revisionUID=0e055967-e36d-420e-b855-ab7671407505
external-secrets    external-secrets                            1/1     1            1           287d    external-secrets                     oci.external-secrets.io/external-secrets/external-secrets:v0.19.2                                                                                                                                                                                         app.kubernetes.io/instance=external-secrets,app.kubernetes.io/name=external-secrets
external-secrets    external-secrets-cert-controller            1/1     1            1           287d    cert-controller                      oci.external-secrets.io/external-secrets/external-secrets:v0.19.2                                                                                                                                                                                         app.kubernetes.io/instance=external-secrets,app.kubernetes.io/name=external-secrets-cert-controller
